,Medicine Name,Description
75,Cimetidine,"  Cimetidine adalah obat yang digunakan untuk mengobati dan mencegah beberapa tipe dari tukak atau luka di lambung, dan untuk mengobati kondisi yang menyebabkan lambung terlalu banyak memproduksi asam lambung.   Obat ini juga digunakan untuk mengobati penyakit GERD (Refluks Asam Lambung) yaitu ketika asam lambung kembali ke kerongkongan dan menyebabkan rasa terbakar pada kerongkongan. "
76,Cinnarizine,"  Cinnarizine digunakan untuk mengontrol mual muntah saat perjalanan, mengatasi vertigo (pusing seperti berputar), tinnitus (telinga berdenging), dan perasaan tidak enak badan. (https://www.drugs.com/uk/cinnarizine-15mg-tablets-leaflet.html) "
77,Dabigatran,  Dabigatran digunakan untuk mengatasi penggumpalan darah dan mengurangi risiko stroke pada beberapa penderita gangguan ritme jantung. (https://www.drugs.com/mtm/dabigatran.html) 
78,Desloratadine,"  Desloratadine adalah obat yang digunakan untuk mengobati gejala alergi, seperti bersin-bersin, mata berair, hidung berair. Obat ini juga digunakan untuk mengobati bentol-bentol dan gatal-gatal di kulit bagi Kamu yang memiliki reaksi alergi kulit kronis.  "
79,Desoximetasone,"  Desoximetasone digunakan untuk mengobati peradangan dan gatal-gatal yang disebabkan oleh beberapa kondisi kulit, seperti reaksi alergi, eksim, dan psoriasis (peradangan pada kulit yang disebabkan oleh autoimun). "
80,Dexamethasone,"  Dexamethasone adalah golongan steroid yang digunakan untuk mengobati berbagai kondisi seperti alergi, kondisi kulit, radang usus besar, peradangan sendi, lupus, psoriasis (gangguan kulit akibat autoimun), atau gangguan pernapasan.   "
81,Dexchlorpheniramine,  Dexchlorpheniramine adalah obat yang digunakan untuk mengatasi alergi. (https://www.mims.com/indonesia/drug/info/dexchlorpheniramine/?mtype=generic) 
82,Dexketoprofen,  Dexketoprofen adalah obat yang digunakan untuk menghilangkan rasa nyeri ringan sampai sedang.   
83,Dextromethorphan,"  Dextromethorphan digunakan untuk mengobati batuk namun tidak dapat digunakan untuk mengobati batuk yang disebabkan oleh rokok, asma, atau emfisema (kantung udara dalam paru-paru hancur secara bertahap). "
84,Dextrose,"  Dextrose atau glukosa digunakan untuk mengobati kadar gula darah yang sangat rendah (hipoglikemia), biasanya terjadi pada pasien yang menderita diabetes melitus. Glukosa diberikan dalam bentuk suntikan untuk mengobati syok insulin yakni kadar gula darah yang rendah yang diakibatkan oleh insulin dan tidak disertai makan cukup.   Efek obat setelah disuntikkan bekerja secara cepat menyebarkan sejumlah glukosa dengan kadar tertentu ke dalam darah. Glukosa juga dapat digunakan untuk memenuhi kalori karbohidrat pada pasien yang tidak dapat makan karena sakit, trauma, atau menderita kondisi medis tertentu. Glukosa terkadang diberikan kepada pasien yang sakit akibat terlalu banyak meminum alkohol. Glukosa dapat juga digunakan untuk mengobati hiperkalemia (kadar kalium yang tinggi dalam darah).   "
85,Diazepam,    z 
86,Diclofenac,"  Diclofenac digunakan untuk mengobati nyeri ringan sampai sedang, atau gejala peradangan pada tulang atau peradangan pada sendi.   "
87,Diethylcarbamazine,"  Diethylcarbamazine digunakan untuk mengobati infeksi yang disebabkan oleh cacing seperti filariasis (infeksi yang disebabkan oleh cacing filaria), loiasis (infeksi yang disebabkan oleh cacing mata atau loa loa), toxocariasis (infeksi yang disebabkan oleh larva cacing gelang Toxocara canis).   "
88,Digoxin,"  Digoxin digunakan untuk mengobati gagal jantung. Selain itu, obat ini juga digunakan untuk mengobati denyut jantung tidak teratur atau terlalu cepat yang umumnya menyebabkan aliran darah tidak lancar (fibrilasi atrial). "
89,Diltiazem,"  Diltiazem digunakan untuk mengobati hipertensi, angina (nyeri dada), dan gangguan ritme pada jantung.   "
90,Dimenhydrinate,"  Dimenhydrinate digunakan untuk mengobati atau mencegah mual, muntah, dan kepala terasa berputar yang disebabkan oleh mabuk perjalanan.(https://www.drugs.com/mtm/dimenhydrinate.html) "
91,Dimethicone,  Dimethicone digunakan untuk mengobati pedikulosis (infestasi kutu kepala) dan digunakan sebagai pelindung kulit. 
92,Diphenhydramine,"  Diphenhydramin digunakan untuk mengobati bersin-bersin, hidung berair, mata berair, bentol-bentol, kulit kemerahan, dan gejala pilek atau alergi lainnya. Obat ini dapat juga digunakan untuk mengobati mabuk perjalanan, merangsang tidur, dan mengobati gejala tertentu dari penyakit Parkinson.(https://www.drugs.com/diphenhydramine.html) "
93,Disulfiram,  Disulfiram digunakan untuk mengatasi kecanduan alkohol kronis karena efek samping yang ditimbulkan akan terasa tidak nyaman saat disulfiram digunakan bersamaan dengan alkohol. (https://www.drugs.com/mtm/disulfiram.html) 
94,Dobutamine,"  Dobutamine digunakan untuk pengobatan jangka pendek gagal jantung, yang diakibatkan oleh melemahnya otot jantung.(https://www.drugs.com/mtm/dobutamine.html) "
95,Docosahexaenoic Acid (DHA),"  DHA merupakan suplemen yang digunakan oleh bayi prematur untuk membantu perkembangan mentalnya menjadi lebih baik. DHA juga dapat digunakan untuk mengobati diabetes tipe 2, penyakit koroner arteri (kerusakan atau penyakit pada pembuluh darah jantung), demensia (pikun), serta mengatasi ADHD (gangguan pemusatan perhatian atau hiperaktivitas). Beberapa orang menggunakan suplemen DHA untuk membantu memperbaiki penglihatan, mencegah gangguan pada mata yang disebabkan oleh usia, mencegah dan mengobati depresi, serta mengurangi perilaku agresif seseorang dengan lingkungan yang penuh tekanan. DHA jika dikombinasikan dengan eicosapentaenoic acid (EPA) dapat mengobati beberapa kondisi penyakit, seperti mencegah gangguan jantung, menstabilkan ritme jantung, asma, kanker, nyeri saat menstruasi, alergi akibat perubahan cuaca, gangguan paru-paru, lupus, dan beberapa gangguan ginjal. EPA dan DHA juga dikombinasikan untuk pasien dengan kondisi kolestrol tinggi, tekanan darah tinggi, psoriasis, peradangan pada sendi, gangguan bipolar, beberapa peradangan pada saluran pencernaan, dan mencegah migrain pada remaja. (https://www.webmd.com/vitamins/ai/ingredientmono-864/dha-docosahexaenoic-acid) "
96,Domperidone,"  Domperidone digunakan untuk mengatasi mual dan muntah, serta gangguan pergerakan usus.(https://www.mims.com/indonesia/drug/info/domperidone/?type=brief&mtype=generic) "
97,Donepezil,  Donepezil digunakan untuk mengobati demensia sedang sampai parah yang disebabkan oleh penyakit Alzheimer. (https://www.drugs.com/mtm/donepezil.html) 
98,Dopamine,"  Dopamine digunakan untuk mengobati kondisi tertentu yang terjadi ketika pasien syok, yang disebabkan oleh serangan jantung, trauma, operasi , gagal jantung, gagal ginjal, dan kondisi medis serius lainnya. (https://www.drugs.com/dopamine.html) "
99,Doripenem,"  Doripenem adalah obat yang digunakan untuk mengatasi infeksi serius pada bagian perut, kandung kemih, atau ginjal. "
100,Doxycycline,"  Doxycycline adalah antibiotik yang digunakan untuk mengobati berbagai jenis infeksi yang disebabkan bakteri, mulai dari infeksi jerawat, infeksi saluran kemih, infeksi usus, infeksi pada mata, gonorrhea, chlamydia, gangguan gusi, dan lainnya.(https://www.drugs.com/doxycycline.html) "
101,Duloxetine,"  Duloxetine digunakan untuk mengobati gangguan depresi mayor pada orang dewasa. Obat ini juga digunakan untuk mengobati gangguan kecemasan umum yang terjadi pada orang dewasa dan anak-anak berusia minimal 7 tahun.Duloxetine juga digunakan pada orang dewasa untuk mengobati fibromyalgia (gangguan nyeri kronis), atau nyeri sendi atau otot kronis (seperti nyeri punggung bagian bawah dan nyeri akibat peradangan pada tulang).Duloxetine juga digunakan untuk mengobati nyeri yang disebabkan oleh kerusakan saraf pada pasien diabetes dewasa (diabetes neuropati).(https://www.drugs.com/duloxetine.html) "
102,Enalapril,"  Tekanan darah tinggi atau hipertensi sering disebut sebagai salah satu penyakit 'silent killer' atau pembunuh diam-diam. Pasalnya, penyakit ini seringkali sulit terdeteksi. Namun, jika kondisi ini tidak segera diobati, hipertensi bisa berisiko menimbulkan komplikasi kesehatan lain yang bisa mengancam jiwa.Salah satu obat yang disarankan untuk mengobati tekanan darah tinggi adalah enalapril. Enalapril dapat digunakan oleh penderita hipertensi dewasa dan juga anak-anak dengan usia minimal 1 bulan.Selain dapat mengobati tekanan darah tinggi, enalapril juga dapat digunakan untuk mengobati gagal jantung kongestif (kegagalan jantung dalam memompa pasokan darah yang dibutuhkan tubuh) serta mengatasi gangguan ventrikel pada jantung.(https://www.drugs.com/enalapril.html) "
103,Eperisone,"  Otot yang terasa kaku tentu terasa sangat tidak nyaman ya. Apalagi jika Kamu sedang melakukan aktivitas. Nah, untuk mengatasi permasalahan otot yang kaku ini, cobalah untuk menggunakan obat jenis eperisone, Gengs!(https://www.mims.com/indonesia/drug/info/eperisone/?type=brief&mtype=generic) "
104,Ephedrine,"  Ephedrine adalah obat yang digunakan untuk sesak napas. Diberikan untuk mengurangi masalah pernapasan seperti gejala nafas pendek-pendek, dada terasa sesak, dan bersin-bersin yang disebabkan oleh asma bronkial. (https://www.drugs.com/ephedrine.html) "
105,Epinephrine,"  Alergi dapat dipicu oleh banyak faktor mulai dari sengatan atau gigitan serangga, makanan, obat-obatan, atau jenis alergen lainnya seperti kegiatan olahraga. Gejala-gejala alergi yang timbul seperti bentol-bentol, gatal-gatal yang parah, hingga sesak napas tentu membuat penderitanya merasa sangat terganggu.Untuk mengobati gejala alergi yang timbul ini, penderita bisa menggunakan obat epinephrine sebagai solusinya.Selain untuk mengobati alergi, epinephrine juga dapat digunakan untuk mengobati glaukoma sudut terbuka dan hipertensi pada bola mata(https://www.mims.com/indonesia/drug/info/epinephrine/?type=brief&mtype=generic dan https://www.drugs.com/mtm/epinephrine-injection.html) "
106,Erdosteine,"  Bronkitis kronis adalah masalah kesehatan umum yang banyak terjadi. Kondisi ini sebenarnya disebabkan oleh peradangan pada saluran bronkial, yakni saluran pernapasan yang membawa udara ke paru-paru. Seseorang yang mengalami bronkitis kronis seringkali menunjukkan gejala seperti batuk membandel yang disertai lendir tebal dan berwarna.Meski kebanyakan kasus bronkitis kronis dapat sembuh dengan sendirinya, namun untuk mencegah kondisi semakin buruk dan mengurangi gejala yang timbul, penderita bisa mengonsumsi jenis obat seperti erdosteine. Endorsteine adalah obat digunakan untuk mengatasi perburukan tiba-tiba dari penyakit bronkitis kronis.(https://www.mims.com/indonesia/drug/info/erdosteine/?type=brief&mtype=generic) "
107,Ergotamine,"  Geng Sehat, siapa yang sering mengalami migrain? Wah, pasti banyak ya! Yup, migrain merupakan kondisi nyeri pada kepala yang memang sangat umum terjadi. Berbeda dengan sakit kepala biasa, nyeri yang timbul saat migrain biasanya hanya terjadi di salah satu sisi kepala saja. Inilah kenapa banyak orang yang menyebut migrain sebagai sakit kepala sebelah. Namun, pada kasus tertentu nyeri kepala migrain juga bisa terasa di kedua sisi kepala bahkan menyerang hingga leher.Nyeri kepala yang timbul saat migrain bisa sedang hingga parah dan tentunya sangat mengganggu aktvitas sehari-hari, ya. Nah, untuk mengatasinya Kamu bisa mengonsumsi jenis obat seperti ergotamine. Obat ini dapat mengurangi rasa nyeri yang timbul saat migrain.(http://www.mims.com/indonesia/drug/info/ergotamine/?type=brief&mtype=generic) "
108,Erythromycin,  Erythromycin adalah antibiotik yang digunakan untuk mencegah atau mengobati berbagai macam infeksi yang disebabkan oleh bakteri.(https://www.drugs.com/erythromycin.html) 
109,Escitalopram,  Escitalopram digunakan untuk mengobati depresi dan kecemasan. (https://www.drugs.com/escitalopram.html) 
110,Esomeprazole,"  Esomeprazole digunakan untuk mengobati penyakit GERD (naiknya asam lambung kembali ke kerongkongan) dan kondisi lain yang memicu asam lambung keluar berlebihan seperti sindrom zollinger-Ellison. Sindrom ini ditandai dengan kemunculan satu atau beberapa tumor gastrinoma di pankreas atau di usus halus bagian atas, yaitu usus dua belas jari.Esomeprazole juga dapat digunakan untuk membantu penyembuhan penyakit esofagitis erosif, peradangan yang disertai luka pada permukaan esofagus. Esomeprazole dapat juga diberikan untuk mencegah luka pada lambung, yang disebabkan oleh bakteri helicobacter pylori atau akibat pemberian obat golongan NSAID.(https://www.drugs.com/mtm/esomeprazole.html) "
111,Estazolam,"  Ayo, siapa yang sering mengalami insomnia alias susah tidur? Kalau Kamu adalah salah satu yang memiliki permasalahan ini, maka coba deh untuk mengonsumsi obat estazolam. Estazolam adalah obat yang digunakan untuk mengatasi gejala insomnia seperti kesulitan untuk memulai tidur atau tidur nyenyak.(https://www.drugs.com/mtm/estazolam.html) "
112,Estradiol,"  Setiap wanita akan mengalami menopause. Menopause sendiri merupakan kondisi ketika terjadi penurunan produksi hormon reproduksi dalam tubuh. Umumnya, kondisi ini akan dialami wanita saat memasuki usia 40-50an tahun. Penurunan hormon reproduksi ini terkadang disertai dengan gejala yang tidak nyaman, seperti hot flashes (rasa panas yang cukup hebat disertai keringat dan detak jantung yang cepat) serta perubahan pada vagina. Nah, untuk mengurangi ketidaknyamanan ini, wanita yang mengalami menopause bisa mengonsumsi obat estradiol. Selain dapat mengurangi gejala yang timbul saat menopause, estradiol juga dapat digunakan untuk mencegah osteoporosis pada wanita yang menopause. (https://www.drugs.com/estradiol.html) "
113,Estrogen,"  Estrogen digunakan untuk mengatasi gejala menopause pada wanita, seperti vagina menjadi kering dan hot flashes (rasa panas disertai keringat dan detak jantung yang cepat). Estrogen juga dapat digunakan untuk mencegah keropos tulang atau osteoporosis pada wanita. Selain itu, estrogen juga dapat digunakan untuk mengatasi beberapa tipe kanker pada pria dan wanita, seperti kanker prostat dan kanker payudara yang sudah menyebar ke seluruh tubuh). Ini bisa pula digunakan pada wanita yang tidak dapat memproduksi hormon esterogen yang cukup, contohnya hipogonadisme dan kegagalan ovarium primer, yakni hilangnya fungsi normal ovarium seseorang sebelum berusia 40 tahun.(https://www.webmd.com/drugs/2/drug-2378/conjugated-estrogens-oral/details) "
114,Ethambutol,"  Ethambutol digunakan untuk mengobati tuberculosis (TB). Umumnya, obat ini digunakan bersamaan dengan minimal satu obat TB lain. (https://www.drugs.com/mtm/ethambutol.html) "
115,Etodolac,"  Etodolac digunakan untuk mengatasi nyeri ringan hingga sedang, osteoarthritis atau rheumatoid arthritis. (https://www.drugs.com/etodolac.html) "
116,Etoricoxib,"  Etoricoxib digunakan untuk mengurangi rasa nyeri dan pembengkakan (inflamasi) sendi serta otot pada orang yang menderita osteoarthritis (pengapuran sendi), rheumatoid arthritis (peradangan kronis pada sendi akibat autoimun), ankylosing spondylitis (peradangan pada tulang belakang), dan gout (peradangan pada sendi akibat asam urat berlebih).(https://www.drugs.com/uk/etoricoxib-120-mg-film-coated-tablet-leaflet.html) "
117,Famotidine,"  Masalah saluran pencernaan seperti luka pada lambung merupakan kondisi yang sering dialami dan tentu membuat aktivitas terganggu. Famotadine adalah salah satu obat untuk mengobati luka lambung.Obat ini juga dapat digunakan untuk gangguan atau penyakit pada lambung lainnya, seperti kondisi di mana lambung terlalu banyak memproduksi asam lambing seperti pada penyakit sindrom Zollinger-Ellison. Selain itu, famotidine juga dapat mengobati GERD (reflusk asam lambung) yaotu kondisi di mana asam lambung naik ke kerongkongan dan menyebabkan gejala berupa rasa terbakar pada dada.(https://www.drugs.com/famotidine.html) "
118,Felodipine,  Felodipine digunakan untuk mengatasi tekanan darah tinggi atau hipertensi. (https://www.drugs.com/mtm/felodipine.html) 
119,Fenofibrate,"  Kadar kolesterol yang tinggi dalam tubuh bisa meningkatkan risiko timbulnya sejumlah masalah kesehatan, seperti stroke dan penyakit jantung koroner. Maka dari itu, diperlukan konsumsi obat fenofibrate, yang dapat menurunkan kadar kolesterol serta trigliserida (asam lemak) dalam tubuh.(https://www.drugs.com/fenofibrate.html) "
120,Fentanyl,"  Setelah menjalani operasi, sering kali tubuh merasakan nyeri yang tidak tertahankan. Untuk mengatasinya, biasanya dokter akan menyarankan penggunaan obat fentanyl untuk meredakan gejala yang dialami.(https://www.drugs.com/fentanyl.html) "
121,Ferrous Fumarate,"  Ferrous fumarate adalah obat atau suplemen yang digunakan untuk mengobati anemia (kekurangan sel darah merah), akibat kekurangan zat besi dalam tubuh.(https://www.drugs.com/mtm/ferrous-fumarate.html) "
122,Fexofenadine,"  Bagi beberapa orang, baik dewasa atau anak-anak, perubahan musim bisa menjadi musuh. Pasalnya, saat perubahan musim terjadi, mereka bisa mengalami alergi, yang membuat kulit terasa gatal hingga muncul bentol-bentol akibat urtikaria kronis. Nah, apabila Kamu adalah salah satu orang yang juga mengalami permasalahan ini setiap kali terjadi perubahan musim, maka Kamu bisa menggunakan fexofenadine sebagai obatnya.(https://www.drugs.com/mtm/fexofenadine.html) "
123,Fibrinogen,  Fibrinogen digunakan untuk mengatasi perdarahan pada orang yang menderita kekurangan fibrinogen dari lahir. 
124,Finasteride,"  Bagi beberapa pria, kebotakan bisa sangat mengganggu karena dapat merusak penampilan. Nah, jika Kamu sedang menghadapi masalah ini, cobalah gunakan finasteride untuk mengatasinya. Obat finasteride digunakan untuk mengatasi kebotakan pada pria. Selain itu, obat ini juga dapat digunakan untuk mengatasi gejala Benign Prostatic Hyperplasia (pembesaran prostat jinak). Kondisi ini terjadi ketika kelenjar prostat mengalami pembengkakan tetapi tidak bersifat kanker. Obat ini hanya digunakan untuk pasien pria. (https://www.drugs.com/mtm/finasteride.html) "
125,Fluconazole,"  Fluconazole digunakan untuk mengobati infeksi jamur yang menyerang bagian tubuh, seperti mulut, tenggorokan, kerongkongan, paru-paru, kandung kemih, area genital, dan darah. Fluconazole juga dapat digunakan untuk mencegah infeksi jamur pada pasien yang memiliki sistem imun lemah akibat terapi kanker, transplatansi sumsum tulang belakang, atau penderita penyakit AIDS.(https://www.drugs.com/mtm/fluconazole.html) "
126,Flunarizin,"  Migrain atau yang lebih dikenal masyarakat sebagai pusing kepala sebelah adalah masalah kesehatan umum yang sering terjadi. Migrain menyebabkan seseorang mengalami rasa nyeri sedang hingga parah, yang biasanya hanya terjadi pada salah satu sisi kepala saja. Namun, dalam beberapa kasus, migrain juga dapat menyerang kedua sisi kepala, bahkan bisa dirasakan hingga ke bagian leher. Nyeri kepala yang terjadi saat migrain bisa terasa sangat mengganggu, apalagi jika sedang menjalani aktivitas. Nah, untuk mengatasi gejalanya diperlukan jenis obat seperti flunarizin. Obat ini juga dapat mencegah terjadinya gangguan pembuluh darah tepi dan pembuluh darah di otak, yang biasanya menimbulkan nyeri pada kepala.Selain itu, flunarizin juga dapat digunakan untuk mencegah vertigo dan gangguan sistem vestibular (sistem yang bertanggung jawab terhadap orientasi tubuh dalam ruangan, baik saat kita sedang duduk, berdiri, tidur, dan lain sebagainya).(https://www.mims.com/indonesia/drug/info/flunarizine/?type=brief&mtype=generic) "
127,Fluoxetine,"  Fluoxetine digunakan untuk mengatasi gangguan depresi mayor, bulimia (gangguan makan), gangguan obsesif kompulsif (kelainan psikologis yang memengaruhi pikiran dan perilaku penderitanya), serangan panik, dan gangguan disforik pramenstruasi (PMS berat).(https://www.drugs.com/fluoxetine.html) "
128,Fluphenazine,"  Kondisi kesehatan mental sama pentingnya dengan kesehatan fisik. Maka dari itu, orang-orang yang mengalami gangguan mental seperti skizofrenia memerlukan perawatan serta pengobatan yang tepat sesegera mungkin. Salah satu jenis obat yang biasa digunakan dalam perawatan pengidap gangguan mental atau psikotik ini adalah fluphenazine. (https://www.drugs.com/mtm/fluphenazine.html) "
129,Fluvoxamine,"  Fluvoxamine digunakan untuk mengobati gangguan kecemasan sosial (social phobia) atau gangguan obsesif-kompulsif, yang disertai dengan pemikiran dan perilaku yang berulang. (https://www.drugs.com/mtm/fluvoxamine.html) "
130,Fondaparinux,  Fondaparinux adalah obat yang digunakan untuk mencegah pembekuan darah yang disebut deep vein thrombosis atau DVT (gumpalan darah yang terbentuk pada vena dalam tubuh). DVT dapat memicu pembekuan darah pada paru-paru (emboli paru). DVT biasanya terjadi setelah menjalani beberapa operasi tertentu. 
131,Formaldehyde,"  Formaldehyde digunakan untuk mengobati kutil yang terasa mengganggu. Kutil sendiri sebenarnya tergolong sebagai tumor jinak yang disebabkan oleh virus. Kebanyakan penyebab kutil adalah Human Papilloma Virus (HPV). Virus ini akan menginfeksi lapisan atas kulit dan pertumbuhannya termasuk cepat. Nah, selain mengobati kutil, formaldehyde juga dapat digunakan untuk mengatasi bau kaki dan keringat berlebih pada kaki.(https://www.drugs.com/cdi/formaldehyde.html) "
132,Fosinopril,  Fosinopril digunakan untuk mengatasi tekanan darah tinggi atau hipertensi dan gagal jantung. (https://www.drugs.com/mtm/fosinopril.html) 
133,Furosemide,"  Furosemide digunakan untuk mengatasi retensi cairan (bengkak) pada pasien yang menderita gagal jantung kongestif, gangguan lever, atau gangguan ginjal seperti sindrom nefrotik (ginjal bocor). Furosemide juga dapat digunakan untuk mengobati hipertensi. "
134,Gabapentin,"  Obat gabapentin digunakan pada orang dewasa untuk mengobati nyeri neuropatik (nyeri akibat kerusakan jaringan saraf), yang disebabkan oleh virus herpes atau shingles (herpes zoster). Obat ini juga dapat digunakan untuk mengobati kejang pada pasien dewasa dan anak-anak dengan usia minimal 3 tahun.   Selain itu, gabapentin bisa digunakan untuk mengobati sindrom kaki gelisah, kondisi yang ditandai oleh dorongan hampir tak tertahankan untuk menggerakkan kaki dan biasanya terjadi saat malam hari. "
135,Galantamine,  Obat galantamine dapat digunakan untuk mengobati demensia yang disebabkan oleh penyakit alzheimer. 
136,Gemfibrozil,"  Kadar kolesterol dan trigliserida yang tinggi dalam darah dapat berbahaya bagi kesehatan. Untuk itu, penting agar setiap orang, terutama penderita pankreatitis (peradangan pada pankreas), untuk selalu menjaga kadar kolesterol dan trigliserida.   Salah satu cara yang dapat dilakukan untuk menjaga kadar kolesterol dan trigliserida dalam tubuh adalah dengan mengonsumsi obat gemfibrozil. Mengonsumsi obat ini dibarengi dengan menerapkan pola makan yang sehat, kolesterol dan trigliserida yang tinggi dari penderita pankreatitis bisa teratasi.   Tak hanya itu, obat gembifrozil juga dapat menurunkan risiko stroke, serangan jantung, atau komplikasi penyakit jantung lain pada pasien yang memiliki kolestrol dan trigliserida tinggi, yang belum diobati dengan metode pengobatan lain.  "
137,Gentamicin,"  Selain virus, infeksi juga dapat disebabkan oleh bakteri. Penanganan untuk infeksi bakteri berbeda dengan penanganan untuk infeksi virus. Salah satu obat yang umumnya digunakan untuk menangani infeksi bakteri berat atau serius adalah gentacimin.  "
138,Glibenclamide,"  Diabetes tipe 2 merupakan salah satu penyakit kronis yang sering dialami oleh orang-orang lanjut usia. Namun, gaya hidup yang tidak sehat juga dapat meningkatkan risiko terjadinya penyakit ini di usia muda.   Penyakit diabetes tipe 2 dapat terjadi karena hormon insulin dalam tubuh tidak bekerja secara optimal dalam mengontrol kadar gula darah. Meski kondisi ini tidak dapat disembuhkan, diabetes tipe 2 dapat dikelola agar tidak menimbulkan komplikasi penyakit lain. Salah satu obat yang dapat digunakan untuk membantu kondisi ini adalah glibenclamide. "
139,Glimepiride,"  Diabetes tipe 2 merupakan salah satu penyakit kronis yang disebabkan oleh kondisi insulin dalam tubuh tidak mampu bekerja secara optimal. Sekitar 90-95% pasien diabetes didiagnosis dengan diabetes tipe 2.   Penyakit ini seringnya menyerang di usia dewasa, dengan usia 40 tahun atau lebih. Namun, risiko terserang diabetes tipe 2 dapat juga meningkat jika pola hidup yang dijalani tidak sehat. Meski diabetes tipe 2 tidak dapat disembuhkan, penyakit ini dapat dikelola dengan pengobatan yang tepat. Salah satu jenis obat yang bisa digunakan adalah glimepiride. "
140,Gliquidone,"  Diabetes melitus tipe 2 merupakan jenis diabetes yang paling banyak terjadi. Kondisi ini ditandai dengan kadar gula darah yang berada di atas batas normal. Penyebab terjadinya diabetes melitus tipe 2 adalah kondisi insulin dalam tubuh yang tidak dapat bekerja secara optimal. Faktor pemicu seseorang bisa mengalami diabetes melitus tipe 2 adalah gaya hidup yang tidak sehat, seperti jarang berolahrga, konsumsi makanan yang kurang bergizi, dan kelebihan berat badan.   Penyakit diabetes melitus sebenarnya bukanlah kondisi yang dapat disembuhkan, tetapi dengan memperbaiki gaya hidup dan konsumsi beberapa jenis obat, kadar gula darah dapat lebih dikontrol. Apabila kadar gula darah terkontrol, maka komplikasi seperti penyakit jantung atau stroke bisa dihindari. Nah, salah satu jenis obat yang biasanya sering digunakan dalam pengobatan diabetes melitus tipe 2 adalah gliquidone. "
141,Glucagon,"  Glucagon digunakan untuk mengobati hipoglikemia (kadar gula darah rendah). Selain itu, glucagon juga dapat digunakan saat pemeriksaan radiologi (X-ray) untuk membantu mendiagnosis penyakit tertentu pada lambung dan usus.   Baca juga: Saat Otak Kekurangan Gula Akibat Hipoglikemia, Ini Dampaknya! (https://www.drugs.com/mtm/glucagon.html) "
142,Glucosamine,"  Glucosamine digunakan sebagai suplemen untuk membantu mengatasi nyeri sendi, pembengkakan, dan kekakuan yang disebabkan oleh penyakit arthritis (peradangan sendi). "
143,Glycerol,  Glycerol adalah obat yang digunakan untuk meredakan gejala batuk dan konstipasi. Glycerol dalam bentuk sediaan topikal (untuk kulit) digunakan untuk melembutkan serta melembapkan kulit. Sedangkan glycerol dalam bentuk tetes mata digunakan untuk menurunkan tekanan bola mata pada pasien yang menderita glaukoma. 
144,Glycopyrronium bromide,  Glycopyrronium bromide adalah obat yang digunakan untuk mengatasi tukak atau luka di lambung. (https://www.drugs.com/uk/glycopyrronium-bromide-1mg-tablets-leaflet.html) 
145,Granisetron,  Granisetron adalah obat yang digunakan untuk mencegah mual dan muntah yang disebabkan oleh pengobatan kanker. Pengobatan kanker yang dimaksud adalah kemoterapi atau radiasi. 
146,Griseofulvin,"  Griseofulvin digunakan untuk mengobati dermatofitosis, penyakit jamur golongan dermatofita pada jaringan yang mengandung zat tanduk, seperti kuku, rambut, dan stratum korneum pada epidermis. "
147,Guaifenesin,"  Pilek akibat infeksi atau reaksi alergi sering kali membuat tubuh terasa tidak nyaman. Pasalnya, pilek akan membuat dada terasa sesak hingga sulit bernapas. Nah, untuk mengatasi hal ini, cobalah gunakan obat guafenesin untuk mengurangi sumbatan pada dada yang timbul akibat pilek dari infeksi atau alergi.   Baca juga: Batuk Pilek pada Ibu Hamil (https://www.drugs.com/guaifenesin.html) "
148,Haloperidol,"  Kondisi permasalahan psikologis seperti schizofrenia memang bukanlah kondisi yang dapat disembuhkan. Namun, dengan penanganan dan pemberian obat yang tepat, gejala-gejala pada kondisi schizofrenia dapat lebih dikurangi. Salah satu obat yang biasa digunakan dalam terapi pengobatan schizofrenia adalah haloperidol. Selain dapat digunakan pada penderita schizofrenia, haloperidol juga dapat digunakan pada pasien Sindrom Tourette, yaitu gangguan sistem saraf yang menyebabkan gerakan berulang atau suara yang tidak diinginkan. Pada pasien ini, haloperidol diberikan untuk mengontrol pergerakan dan kesulitan berbicara.   Baca juga: Jangan Diabaikan, Ini Gejala Awal Skizofrenia! (https://www.drugs.com/mtm/haloperidol.html) "
149,Heparin,"  Heparin adalah obat yang digunakan untuk mencegah penggumpalan darah akibat penyakit tertentu atau prosedur medis tertentu misalnya operasi. Beberapa penyakit meningkatkan risiko terjadinya penggumpalan darah sehingga harus dicegah. Mengapa? Gumpalan darah ini dapat menyumbat pembuluh darah dan berdampak fatal. Misalnya jika menyumbat pembuluh darah arteri jantung dapat menyebabkan serangan jantung. Apabila menyumbat pembuluh darah di otak, dapat menyebabkan stroke. Pasien yang usai menjalani operasi juga berisiko mengalami penggumpalan darah sehingga dibnerikan heparin jsebelum operasi untuk mengurangi risiko penggumpalan darah.   Baca juga: Berhubungan Seks Terasa Nyeri Pasca Operasi Cesar? Mungkin Ini Penyebabnya! (https://www.drugs.com/heparin.html) "
150,Homochlorcyclizine dihydrochloride,  Homochlorcyclizine dihydrochloride adalah obat yang digunakan pada pasien yang mengalami kondisi alergi. (https://www.mims.com/indonesia/drug/info/homochlorcyclizine%20dihydrochloride/?q=homochlorcyclizine%20dihydrochloride&mtype=generic) 
